name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Astana,2023-11-01,2,-0.3,0.6,-2.4,-6.3,-4.5,-0.3,93.7,3.56,100,8.33,"rain,snow",0.8,1.4,51.8,28.8,245.9,1019,96.3,6.9,7,0.6,0,10,2023-11-01T08:05:52,2023-11-01T17:49:11,0.61,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35283099999,35188099999,UACC"
Astana,2023-11-02,9,0,4.1,5.9,-6,-0.4,3.1,93,2.036,100,4.17,"rain,snow",0,1,66.2,39.6,251,1023,98,8.1,11,1,1,10,2023-11-02T08:07:36,2023-11-02T17:47:24,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with early morning snow or rain.,rain,"35283099999,35188099999,UACC"
Astana,2023-11-03,8,1,3.5,6,-3.7,0.3,3.3,98.6,0.1,100,4.17,rain,0,0.1,28.8,18,133.8,1025.7,95.9,5.1,31.7,2.8,2,10,2023-11-03T08:09:21,2023-11-03T17:45:38,0.67,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,UACC
Astana,2023-11-04,9,1,5,5.9,-2.4,1.7,4.3,95.5,0,0,0,,0,0,41.8,32.4,216.2,1020.4,84.1,6.8,52.3,4.4,2,10,2023-11-04T08:11:05,2023-11-04T17:43:55,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,UACC
Astana,2023-11-05,5,-1.5,1.8,3.3,-5.4,-1.7,-2.3,75.4,0,0,0,,0,0,26.6,21.6,51.4,1028.5,65.6,13.7,92.2,8,4,10,2023-11-05T08:12:50,2023-11-05T17:42:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UACC,remote"
Astana,2023-11-06,4.5,-2.6,0.3,3.1,-6.6,-2.2,-9.9,48.3,0,0,0,,0,0,15.1,10.8,132.4,1033.8,23.7,24.1,85.3,7.3,4,10,2023-11-06T08:14:34,2023-11-06T17:40:32,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2023-11-07,8.4,0.1,3.2,6.9,-3,0.7,-12.2,32.1,0,0,0,,0,0,16.9,13.3,158.6,1027.2,8.8,24.1,90.1,7.8,4,10,2023-11-07T08:16:19,2023-11-07T17:38:54,0.8,Clear,Clear conditions throughout the day.,clear-day,
Astana,2023-11-08,10.1,1.9,5.3,10.1,-2,2.3,-9,35.3,0,0,0,,0,0,36.7,18.7,158,1018.6,79.4,24.1,66.2,5.7,3,10,2023-11-08T08:18:03,2023-11-08T17:37:17,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Astana,2023-11-09,7.2,3.6,5.2,4.2,-1.4,1.7,-1.4,65,1.6,57.1,12.5,rain,0,0,42.1,26.3,186.3,1013.6,89.3,22.4,25.6,2.2,2,10,2023-11-09T08:19:47,2023-11-09T17:35:43,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
Astana,2023-11-10,7.5,2.3,4.3,4.2,-3.2,0.1,1.6,83.8,1,71.4,29.17,"rain,snow",0,0,42.5,27,238.5,1023.6,74.9,13.1,34.6,2.7,2,10,2023-11-10T08:21:31,2023-11-10T17:34:10,0.9,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,
